HomeNo|Channel|Starttime|Activity|EndTime|Duration
1234|603|20200101070000|PlayBack|20200101175959|39600
1234|101|20200101180000|Live|20200101182959|1800
1234|102|20200101183000|Live|20200101202959|7200
1234|601|20200101203000|PlayBack|20200101235959|12600
45678|621|20200101060000|PlayBack|20200101185959|46800
45678|103|20200101190000|PlayBack|20200101192959|1800
45678|104|20200101193000|Live|20200101205959|5400
45678|104|20200101210000|PlayBack|20200101235959|10800
777|602|20200101200000|Live|20200101235959|14400
900|621|20200102060000|PlayBack|20200102235959|64800
12345|101|20210328000000|Live|20210328005959|3600
12345|102|20210328010000|Live|20210328015959|3600
12345|601|20210328020000|PlayBack|20210328025959|3600
12345|602|20210328030000|PlayBack|20210328235959|75600
